Designator,Mid X,Mid Y,Layer,Rotation
D1,61.13,65.24,Top,270
D2,60.83,59.04,Top,270
D4,64.93,65.24,Top,270
D5,68.73,65.24,Top,270
CONN1,8.6,71.94,Top,90
CONN2,81.83,46.45,Top,0
IC6,31.15,46.51,Top,0
C1,7.13,59.04,Top,270
C2,5.83,25.64,Top,270
C3,14.43,59.34,Top,90
C4,13.05,46.41,Top,0
C5,13.13,25.74,Top,90
C6,17.45,62.91,Top,180
C7,17.35,46.41,Top,0
C8,18.73,77.64,Top,270
C9,18.83,74.34,Top,270
C10,18.83,71.14,Top,270
C11,18.83,67.64,Top,270
C12,21.15,63.11,Top,180
C13,25.85,63.11,Top,180
C14,26.85,30.41,Top,0
C15,29.35,30.41,Top,0
C16,33.28,31.61,Top,0
C17,35.95,63.11,Top,180
C18,40.43,77.34,Top,90
C19,39.41,63.01,Top,180
C21,42.15,63.01,Top,180
C22,42.55,33.21,Top,0
C23,41.78,26.91,Top,0
C25,45.25,49.41,Top,0
C26,44.25,43.51,Top,0
C28,47.65,49.41,Top,0
C29,46.55,43.41,Top,0
C30,45.85,36.71,Top,0
C31,45.85,30.71,Top,0
C32,50.29,59.01,Top,180
C33,49.35,43.51,Top,0
C34,52.45,34.51,Top,0
C36,54.33,77.34,Top,90
C37,54.55,59.11,Top,180
C38,56.26,34.51,Top,0
C39,61.03,37.31,Top,0
C41,64.83,59.14,Top,0
C42,65.15,45.51,Top,0
C43,63.55,37.31,Top,0
C44,68.53,77.34,Top,90
C45,68.43,35.34,Top,270
C46,70.48,16.51,Top,90
C47,70.43,11.64,Top,90
C50,75.83,65.94,Top,0
C51,75.93,14.84,Top,90
C52,76.35,58.01,Top,180
C53,76.63,37.94,Top,270
C54,76.03,11.74,Top,270
C55,81.03,77.44,Top,90
C56,83.73,37.74,Top,90
C24,42.03,9.84,Top,90
C35,51.63,15.94,Top,90
C49,72.13,37.24,Top,0
L5,87.6,32.31,Top,180
L6,87.7,25.01,Top,180
L7,87.7,15.84,Top,180
L8,87.5,7.74,Top,180
X2,52.48,54.51,Top,180
S1,3.93,49.49,Top,180
S2,59.55,47.59,Top,0
LD1,81.85,58.84,Top,0
LED1,47.02,63.01,Top,0
LED2,72.33,48.54,Top,0
IC2,14.65,54.67,Top,0
TR1,7.08,39.9,Top,270
CONN3,99.13,42.39,Top,270
IC1,6.78,15.91,Top,90
IC3,16.08,16.11,Top,90
IC4,24.68,16.11,Top,90
IC5,32.58,73.91,Top,90
IC7,32.88,16.11,Top,90
IC10,51.85,11.67,Top,0
R1,5.93,32.04,Top,0
R2,5.83,28.94,Top,0
R3,8.93,50.14,Top,0
R4,8.93,47.04,Top,0
R5,12.73,32.04,Top,0
R6,12.83,28.94,Top,180
R7,16.03,37.84,Top,90
R8,22.93,77.64,Top,180
R9,22.93,74.34,Top,180
R10,22.93,71.14,Top,180
R11,22.93,67.64,Top,180
R12,26.53,77.64,Top,180
R13,26.53,74.34,Top,180
R14,26.53,71.14,Top,180
R15,26.73,67.74,Top,0
R16,48.03,73.54,Top,180
R17,47.15,58.81,Top,270
R18,49.17,31.74,Top,90
R20,53.85,40.71,Top,0
R21,53.85,37.81,Top,0
R22,61.43,73.44,Top,180
R23,64.15,50.31,Top,0
R24,67.73,59.04,Top,270
R25,69.23,48.34,Top,270
R26,70.53,8.54,Top,180
R27,70.73,5.64,Top,0
R28,72.33,60.84,Top,0
R31,74.83,73.24,Top,180
R32,75.93,5.74,Top,0
R33,78.23,65.94,Top,270
R34,76.53,34.74,Top,0
R35,76.63,31.84,Top,0
R37,76.03,8.54,Top,0
R39,82.28,20.14,Top,180
R40,84.53,66.74,Top,0
R41,88.33,73.54,Top,180
R42,86.68,20.14,Top,180
R19,52.43,5.54,Top,0
R36,77.38,20.21,Top,0
R38,81.18,25.81,Top,0
IC8,41.24,72.77,Top,0
IC11,54.04,72.77,Top,0
IC12,67.84,72.67,Top,0
IC13,70.44,28.77,Top,0
IC14,70.2,21.14,Top,0
IC15,80.84,72.57,Top,0
D3,62.18,23.51,Top,90
C20,40.18,17.31,Top,270
C27,43.98,17.31,Top,270
C48,71.58,56.91,Top,180
IC9,52.43,22.05,Top,0
R29,71.43,44.54,Top,180
R30,71.53,42.24,Top,180
C40,61.88,11.01,Top,270
L1,30.75,61.91,Top,90
L2,46.55,54.51,Top,270
L3,49.25,36.81,Top,0
L4,68.32,38.51,Top,270
X1,37.26,29.11,Top,90
